iso_o,iso_d,indcode,tradevalue
USA,BRA,12,1194.233557
BRA,CHN,12,31.68178
CHN,CHN,12,326240.630138
EU,CHN,12,12108.8095703125
IND,CHN,12,284.2082429999999
JPN,CHN,12,1369.938061
ROW,CHN,12,4709.47265625
USA,CHN,12,3764.283696
BRA,EU,12,124.9607467651367
CHN,EU,12,4489.3447265625
EU,EU,12,187817.078125
IND,EU,12,1335.429931640625
JPN,EU,12,1256.183471679688
ROW,EU,12,29177.2109375
USA,EU,12,19753.587890625
BRA,IND,12,16.226837
CHN,IND,12,1022.913061
EU,IND,12,705.630615234375
IND,IND,12,43985.79312699999
JPN,IND,12,26.262661
ROW,IND,12,302.5179138183594
USA,IND,12,191.317562
BRA,JPN,12,5.414657999999999
CHN,JPN,12,1161.848729
EU,JPN,12,7111.296875
IND,JPN,12,114.521763
JPN,JPN,12,69046.376984
ROW,JPN,12,3961.2890625
USA,JPN,12,3527.951134
BRA,ROW,12,452.2882080078125
CHN,ROW,12,8878.3896484375
EU,ROW,12,47626.86328125
IND,ROW,12,5359.77001953125
JPN,ROW,12,2287.634765625
ROW,ROW,12,202970.75
USA,ROW,12,16460.158203125
BRA,USA,12,153.32324
CHN,USA,12,7162.749675000001
EU,USA,12,65860.5859375
IND,USA,12,6361.727565
JPN,USA,12,2931.769798
ROW,USA,12,34658.9375
USA,USA,12,243253.344036
BRA,BRA,13,31153.088665
CHN,BRA,13,879.3232499999999
EU,BRA,13,944.930908203125
IND,BRA,13,143.648102
JPN,BRA,13,137.548836
ROW,BRA,13,1662.819458007813
USA,BRA,13,337.515888
BRA,CHN,13,48.86403900000001
CHN,CHN,13,445215.944543
EU,CHN,13,4780.91455078125
IND,CHN,13,175.505623
JPN,CHN,13,4834.041761000002
ROW,CHN,13,7850.20458984375
USA,CHN,13,1625.679995
BRA,EU,13,142.8938446044922
CHN,EU,13,10744.4541015625
EU,EU,13,297619.40625
IND,EU,13,1601.561645507813
JPN,EU,13,1501.618896484375
ROW,EU,13,19552.318359375
USA,EU,13,2923.35546875
BRA,IND,13,103.579821
CHN,IND,13,5583.483504
EU,IND,13,4261.47900390625
IND,IND,13,49537.792154
JPN,IND,13,1171.958595
ROW,IND,13,6440.87548828125
USA,IND,13,1177.706071
BRA,JPN,13,15.764981
CHN,JPN,13,4054.886339
EU,JPN,13,1039.814575195313
IND,JPN,13,61.93739199999999
JPN,JPN,13,100011.18333
ROW,JPN,13,6432.21435546875
USA,JPN,13,567.2096820000002
BRA,ROW,13,1746.652709960938
CHN,ROW,13,28249.1640625
EU,ROW,13,32758.6875
IND,ROW,13,3231.477294921875
JPN,ROW,13,11141.189453125
ROW,ROW,13,329020.5
USA,ROW,13,16985.197265625
BRA,USA,13,370.5870190000001
CHN,USA,13,12972.962817
EU,USA,13,6504.0107421875
IND,USA,13,897.8097560000002
JPN,USA,13,1965.001369
ROW,USA,13,24624.533203125
USA,USA,13,209877.776061
BRA,BRA,14,22357.471284
CHN,BRA,14,487.109165
EU,BRA,14,426.1048583984375
IND,BRA,14,62.93031199999999
JPN,BRA,14,22.71587700000001
ROW,BRA,14,310.5509338378906
USA,BRA,14,85.07307099999999
BRA,CHN,14,25.901114
CHN,CHN,14,861886.9338950003
EU,CHN,14,2755.10205078125
IND,CHN,14,92.81654999999999
JPN,CHN,14,2494.940469
ROW,CHN,14,5405.11962890625
USA,CHN,14,1104.522411
BRA,EU,14,101.7444381713867
CHN,EU,14,6247.522644042969
EU,EU,14,208698.15625
IND,EU,14,609.8753051757813
JPN,EU,14,635.9628295898438
ROW,EU,14,6356.53369140625
USA,EU,14,1539.235473632813
BRA,IND,14,17.112379
CHN,IND,14,1538.116648
EU,IND,14,595.1641235351563
IND,IND,14,67506.64808600002
JPN,IND,14,109.391426
ROW,IND,14,1328.695922851563
USA,IND,14,137.50529
BRA,JPN,14,7.708863
CHN,JPN,14,2516.284444999999
EU,JPN,14,672.867919921875
IND,JPN,14,28.619602
JPN,JPN,14,46951.61306700001
ROW,JPN,14,1320.172607421875
USA,JPN,14,382.7792920000001
BRA,ROW,14,791.2889404296875
CHN,ROW,14,22177.47546386719
EU,ROW,14,16154.7724609375
IND,ROW,14,1785.826782226563
JPN,ROW,14,3010.278076171875
ROW,ROW,14,369799.375
USA,ROW,14,4247.63232421875
BRA,USA,14,833.2324160000002
CHN,USA,14,8834.342480999998
EU,USA,14,5043.8447265625
IND,USA,14,689.0228960000001
JPN,USA,14,840.6221020000002
ROW,USA,14,7304.0625
USA,USA,14,145000.365131
BRA,BRA,15,34341.44147300001
CHN,BRA,15,815.3264909999999
EU,BRA,15,1024.68994140625
IND,BRA,15,143.546359
JPN,BRA,15,157.7524400000001
ROW,BRA,15,3069.39404296875
USA,BRA,15,315.379143
BRA,CHN,15,1360.79097
CHN,CHN,15,1503002.461599
EU,CHN,15,8192.82421875
IND,CHN,15,1255.978255
JPN,CHN,15,10789.83219199999
ROW,CHN,15,57314.078125
